,E_in_norm,S_entropy_norm,C_ent_alpha_norm,dQCI_dt,QCI_smooth
E_in_norm,1.0000,-0.0294,0.3834,0.8388,0.3629
S_entropy_norm,-0.0294,1.0000,0.0340,-0.2592,0.1064
C_ent_alpha_norm,0.3834,0.0340,1.0000,0.6157,0.0497
dQCI_dt,0.8388,-0.2592,0.6157,1.0000,-0.0862
QCI_smooth,0.3629,0.1064,0.0497,-0.0862,1.0000
